id,name,publisher,description,total_episodes,languages,media_type,explicit
2BLdPSFfzWaYKiXYV0Nqvo,Calming Anxiety,Calming Anxiety,"A soft, caring selection of guided meditation and mindfulness sessions to help you unwind, relax and live a happier life. Letting go of stress, anxiety and panic attacks. You can book a one on one hypnotherapy session now with Martin - https://calendly.com/calminganxiety/zoom-hypnotherapyWith gentle background music, a soft, empathic voice, Martin guides you along a path towards taking back control of your life and well being. So, if you are suffering from insomnia or a lack of confidence I aim to provide you with a way of letting go of the past and being more confident and happier in the future. Take time out and learn to relax completely. I also have the new Calming Anxiety App. All this content plus so much more. Download now and take back control over your thoughts, feelings and reactions. Calming Anxiety for IOS - https://apps.apple.com/gb/app/calming-anxiety/id1576159331Calming Anxiety for Android - https://play.google.com/store/apps/details?id=digital.waterfront.calming.anxiety&hl=en-GBWhy not join our community at the Calming Anxiety FaceBook Group? Share ideas, how you have changed through using the sessions or ideas for future shows. https://www.facebook.com/groups/CalmingAnxiety/Thank you, Martin Hewlett GQHPBecome a supporter of this podcast: https://www.spreaker.com/podcast/calming-anxiety--4110266/support.",1000,['en'],audio,FALSE
2j9nqYcjQaqpvX0K4gyfCT,Changing the Conversation about EDs,Liron Cohen,"Changing the Conversation about Eating Disorders is a monthly podcast from Liron Cohen and Karin Eli. Combining our professional and personal perspectives, we're aiming to create a new discussion about a subject matter that touches so many lives and yet still puzzles most of us. New episodes are posted on the first Tuesday of every month. Subscribe to us on iTunes: https://itunes.apple.com/us/podcast/changing-the-conversation-about-eds/id1446935444Karin Eli is a medical anthropologist whose research focuses on eating disorders and obesity. Karin approaches eating disorders and obesity as multi-level conditions, and studies how they manifest both in individual experiences and among populations. http://academia.edu/Liron Cohen is the creator and cohost of the feminist blog/Vlog/podcast Lady Parts TV. She mentors and supports individuals and families affected by eating disorders, anxiety disorders, chronic illness, and issues relating to the LGBTQ community, as well as consults with doctors, students and professionals in these fields. She is currently working on her first book, based on her experiences overcoming anorexia nervosa. Born and raised in Israel, she now lives in New York with her wife and their two cats. LadyPartsTV.com",16,['en'],audio,FALSE
30OS5dYJPZS4QE7NZaryBt,Closer To Wellness With Dr. G,"Bonnie Gasquet, MD","Hello, and welcome to Closer To Wellness With Dr. G. Internal medicine physician, specializing in bioidentical hormone replacement, peptide therapy, and all things wellness. I see male and female patients across the nation, who may have complaints that range from anything related to mood disorder, energy issues, insomnia, sexual dysfunction, chronic health concerns, metabolic issues, and everything in between. A lot of times, these things refer to hormone deficiencies or imbalances that cause all of the organs to dysfunction and give us what we call diseases of old age. It's my job to help them figure out what may be the problem, and help point them in the direction of how we can fix it. Instagram: https://www.instagram.com/drbonniegasquet/ Facebook: https://www.facebook.com/profile.php?id=100004636634749&mibextid=LQQJ4d LinkedIn: https://www.linkedin.com/in/bonnie-gasquet-md",11,['en-US'],audio,FALSE
0KrfcSwx9dPXxa7rVtBTC3,"Coffe, Sex, & Boundaries",Nicole Cilano,"Join us at Coffee, Sex, & Boundaries as we share life's relatable experiences and give you the raw truth. Life's a crazy adventure and what's better than taking it one day at a time. We will be covering everything from relationships, sex, mental health, behaviors, and a wide variety of topics. We are Nicole Cilano and Rene Williams and and we love to help others who find themselves facing problems that they want to address. Nicole Cilano specializes in helping people with relationship, sexual, and intimacy issues.Rene Williams is a Certified Hypnotherapist and relationship coach specializing in Borderline Personality DisorderFor a Free Consultation with one of us you can reach us at...Nicole CilanoFacebook: @Cilano.NicoleIG: @nicole_cilano_Rene WilliamsFacebook: @AshleyRenea-Williams",2,['en'],audio,FALSE
5Mep6DiLQiTdUjk9e4E46Y,Compassionate Minds By Amita Devnani,Amita Devnani,"""Compassionate Mind by Amita Devnani"" hosts esteemed mental health professionals who share their expertise through engaging podcasts. Each episode delves into a diverse array of mental health topics, ranging from anxiety and depression to self-care practices and mindfulness techniques.Our podcasts will feature not only my insights but also conversations with guests who bring their own perspectives and experiences. We aim to broaden the horizons of understanding and provide practical knowledge for our viewers.Phone: +91 91510 06808Email: amitadevnani.psychologist@gmail.com Subscribe Our YouTube Channel: / @lifecoachamitadevnani _______________To Know More,Follow Psychologist Amita Devnani On ⤵︎Website: https://www.amitadevnani.comFacebook: https://www.facebook.com/psychologist.amitadevnaniInstagram: https://www.instagram.com/psychologist.amitadevnaniLinkedin: https://www.linkedin.com/amita-devnani-02b3791aa______________________#lifecoachamitadevnani #CompassionateMinds #Podcast #lifecoach #mentalhealth #psychologist",12,['en'],audio,FALSE
1nFZh1VnlGRSFX6qauFFIG,Complex PTSD Recovery [Reports]: We Are Traumatized Motherfuckers,"CPTSD, Intergenerational PTSD, Relational Trauma | TMFR LLC","Part of the Traumatized Motherfuckers' Research Project: What you need to know about CPTSD, in bitesized summaries of our in-depth research efforts. Peer-reviewed research and irreverent dark humor meet trauma recovery, without the ""bright sides."" Let's talk about the complicated experience of rectifying a life built on trauma, relearning how to have relationships, and re-imagining your future... in micro chunks. (When you're ready, jump into the deep end, detailed below.)You aren't alone, damaged, doomed, or dead yet. But with all the grit and gumption necessary to keep growing, you might be a real MF.For the full project (400+ ""research meets real life"" episodes, hour+ deep dives & multipart series, videos, transcripts, workbooks, private community, and beyond go to: Patreon.com/traumatizedmotherfuckers Not ready yet? Subscribe to get all recent releases right on Spotify: Complex PTSD Recovery: We Are Traumatized Motherfuckers on Spotify. For more info on the project go to: t-mfrs.com.Help support the project here! <3 Hosted on Acast. See acast.com/privacy for more information.",61,['en'],audio,TRUE
5jYdSngKYhfGRLfMlIx0Xv,Consider Yourself Hugged,Tami West,"Thanks for visiting with us at for Consider Yourself Hugged: Mental & emotional well-being.” Do you find yourself thinking, ""Life can be so overwhelming! I feel so frustrated all the time! I worry about everything! I wish I could speak up more and not be a doormat!"" If you're looking for improved mental and emotional well-being, please join me every Wednesday as we talk about how to make positive choices in your life. *Disclaimer: The information in this show is not intended to be therapy or to address your individual situation. It is information based on my experiences, opinions, and research. If you need further help, please reach out to one of the resources mentioned in the show notes. About me: Tami West, PhD Stress and Mental Health Expert Dr. Tami West uses her entertaining and compelling style to shine a new light on how to transform your life and discover solutions to life’s challenges. Her passion stems from a lifelong battle with an anxiety disorder which has uniquely equipped her to teach, encourage, and motivate others. Tami has worked in a variety of industries including healthcare, school nutrition, corporate sales, and 10 years as a public-school teacher. In 2013 she received her PhD in Human Development, studying the connections among stress, emotions, and identity. Dr. West has spoken in 48 states across the US, as well as the United Kingdom, Australia, and New Zealand. Dr. West is the author of several successful publications including two books: The Stress Club, Life Without the Monsters and Thrive. She is a mother of eight in a blended family and enjoys reading historical fiction, traveling with her husband Tim and family, and watching The Big Bang Theory.",192,['en'],audio,FALSE
3lXNpJMhUfYMHLTNA5Wa2I,Counseling Tips For Pastors And Ministry Leaders - Practical Help From Christian Counselors,"iHope Christian Care And Counseling with Jessica Hayes, LPC, LMFT","Do you want to care for the people in your ministry more effectively? This podcast will equip you to do exactly that. The reality of Christian ministry is that it can be exhausting, overwhelming, and lonely. This is certainly true for pastors, but it is also true for all Christians in ministry! And every Christian has a ministry of some kind. From youth leaders to Bible study leaders to loving your next-door neighbor, we are all in ministry to the people around us. And those people are hurting. The emotional struggles, mental health needs, and relationship challenges of today’s world are big. Millions of people struggle with anxiety, depression, divorce, abuse, and stress. And when people are hurting, the Church is meant to help. … But do you really feel equipped to do that? The mission of this podcast is to EQUIP and ENCOURAGE you in your ministry leadership. Whether you are pastoring a mega church or the far more common smaller church, or maybe you’re working at a nonprofit and leading a book club on your lunch break - you want to be able to love and care for the people around you. Every episode will EQUIP you with practical skills, ideas, tools, or resources to address the “counseling” related needs of the people in your ministry. Each episode will also seek to ENCOURAGE you in the important ministry work you are doing for the Lord’s glory. Your host: This show is hosted by iHope Christian Care and Counseling, a nonprofit counseling center in Florence, S.C. The iHope Director - Jessica Hayes, LPC, LMFT, LPCS-Candidate - is our primary host. As an organization, The iHope Center desires to provide support to pastors and ministry leaders throughout our community, and we hope that our resources will be helpful for you. You can find these resources on our podcast, our You Tube channel, and our blog. Learn more about The iHope Center by visiting www.ihopeflorence.com. If you are in South Carolina, we are a registered charitable organization, and welcome your donations to support this podcast and all of our counseling ministry! *Disclaimer: This podcast itself is not therapy and should be taken as informational and educational content only. Listeners should always use their own judgment in making decisions for themselves and in their recommendations for others. If you are concerned about an emergency situation, contact your local emergency department. For suicide concerns, 9-8-8 or www.988lifeline.org is designed for emergency suicide support.",29,['en'],audio,FALSE
5aY76eAGa3xOfVMimiQMai,Cynthia Bailey-Rug,Cynthia Bailey-Rug,"Thank you for checking out my podcasts! They cover the same topics as my writing (Christianity, abuse recovery, mental health, Narcissistic Personality Disorder, etc.) and everything is from a Christian perspective. Some topics are repeated, because sharing new information and perspectives from a different angle can make it ""click"" sometimes where it didn't before. I try to add podcasts often, but due to my health struggles, they won't be added consistently. I apologize and I'm trying! Transcripts, articles, books and more are available on my website: https://www.CynthiaBaileyRug.com Support this podcast: https://creators.spotify.com/pod/show/cynthiabaileyrug/support",241,['en'],mixed,FALSE
6NNDO446XObdTEkEc9Zdv0,Dancing with Bipolar,DawnSherine Bernard,Hi. This is the story of my life living with Bipolar Disorder and all the fun and sadness that come along with this double edged sword. My Email - Buddy1dawn@gmail.com Show Email- DancingwithBipolar@yahoo.com INSTAGRAM* THREADS* DANCING WITH BIPOLAR FACEBOOK* LINKEDIN* DAWNSHERINE BERNARD *TikTok* Dancing with Bipolar *YouTube* @dawnsherine65 Https://www.Dancingwithbipolar.com,220,['en'],audio,TRUE
4WwONkUuMykuB5yfdj91pW,DBT Book Club,Dani D'Silvez,Listen as we read and talk about different DBT books that will help you to overcome Borderline Personality Disorder. Join our discord channel (link updated 05/09/20) https://discord.gg/WjQFths,51,['en'],audio,FALSE
3y7Rv6QY24v9nuVFKabLkl,Deep Depression: How to Snap Out of It & Find Happiness,Willy Light,"Being in a dark place takes its toll. Not knowing where to turn, who to talk to or what to do next. We all become consumed by the gray areas of life. . .buried in the doldrums & caught up in the despair. You are here because either you have issues with depression, perhaps you know of someone who does or you are simply curious. Let's try to get through this together & attempt uncover a little reprieve from the daily stresses of life! Light & Easy! I hope this helps a little. . . If you are on Facebook, we invite you to follow our page! https://www.facebook.com/FindingHappinessOnce",6,['en'],audio,FALSE
6aiNvAvPQfhkpsmhrWTnJy,Discovering Our Scars,Stephanie Kostopoulos & Beth Demme,"Discovering Our Scars Podcast is all about one thing: honest conversations. Steph and Beth talk about things that make most people uncomfortable (religion, mental illness, sexual abuse, and more). Steph and Beth became friends when they poured their hearts out in a 12-Step recovery small group. Neither was dealing with addiction—but both had hurts, habits, and hang-ups they needed to address. Steph’s journey is detailed in her book, Discovering My Scars, and that’s the inspiration for the podcast. While the podcast is inspired by Steph’s book, the hosts expand on subjects that make each person unique. The mission of the podcast is to help people embrace the “embarrassing” parts of their lives and learn to love and value all of themselves. On the podcast, the hosts share their own experiences and invite guests to broaden the conversation by contributing their own wisdom. As in Steph’s book, the podcast does not “tell you what to do,” rather, it has the ability to inspire people through the hosts’ honest and heartfelt approach.Podcast website: dospod.us",162,['en-US'],audio,TRUE
2KdUCCwOD8iEmzOML4ecTt,Distressed to Joyful; Bailey’s Way,Bailey Reber,"Why do I feel so tired all the time? How do I manage all this stress and my anger? Why do all these terrible things keep happening to me? Does anyone else feel like this or is it just me? Is this something I can talk to my family and friends about? Welcome to Distressed to Joyful; Bailey’s Way! Twice a month, our host, Bailey Reber, will dive deep on topics surrounding bipolar disorder and mental health. She’ll discuss research-backed ways to best control your emotions, how she's learned to effectively manage her bipolar disorder and all that she's learned which allows her to live a passionate and fulfilling life! WEBSITE: https://whatisheybailsdoing.com/ INSTAGRAM: https://instagram.com/distressedtojoyful_baileysway/ COMMUNITY: https://www.facebook.com/groups/distressedtojoyful.baileysway/",97,['en'],audio,TRUE
